======================================================================
PROXY CHECK RESULTS
Total: 1000 | Live: 505 | Die: 495
======================================================================

----------------------------------------
[LIVE] 505 proxies
----------------------------------------
[LIVE] serverproxybc4.ddns.net:4963 | HTTP | 3726ms | IP: 27.66.124.8
[LIVE] prxserver52025.onthewifi.com:4196 | HTTP | 3677ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:4340 | HTTP | 3714ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:4529 | HTTP | 3969ms | IP: 27.79.234.246
[LIVE] prxserver52025.onthewifi.com:5331 | SOCKS5 | 635ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:5069 | SOCKS5 | 569ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:5566 | SOCKS5 | 578ms | IP: 27.79.234.246
[LIVE] serverproxybc4.ddns.net:5337 | SOCKS5 | 560ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:5022 | SOCKS5 | 704ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:5073 | SOCKS5 | 695ms | IP: 117.6.107.34
[LIVE] serverproxybc4.ddns.net:5038 | SOCKS5 | 566ms | IP: 27.66.124.8
[LIVE] prxserver62025.onthewifi.com:5442 | SOCKS5 | 1064ms | IP: 27.79.129.128
[LIVE] prxserver62025.onthewifi.com:5214 | SOCKS5 | 649ms | IP: 27.79.130.66
[LIVE] prxserver62025.onthewifi.com:5680 | SOCKS5 | 569ms | IP: 27.79.130.140
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 701ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 642ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 699ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 701ms | IP: 27.79.147.110
[LIVE] prxserver42025.onthewifi.com:4018 | HTTP | 3849ms | IP: 171.224.17.52
[LIVE] prxserver42025.onthewifi.com:4101 | HTTP | 3681ms | IP: 171.224.18.121
[LIVE] prxserver42025.onthewifi.com:4951 | HTTP | 3953ms | IP: 171.224.23.165
[LIVE] prxserver42025.onthewifi.com:4492 | HTTP | 3833ms | IP: 27.76.184.26
[LIVE] serverproxybc4.ddns.net:4299 | HTTP | 4000ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:4405 | HTTP | 3778ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:4092 | HTTP | 3954ms | IP: 117.6.107.34
[LIVE] serverproxybc4.ddns.net:4963 | HTTP | 4556ms | IP: 27.66.124.8
[LIVE] prxserver52025.onthewifi.com:4196 | HTTP | 3677ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:4340 | HTTP | 3814ms | IP: 27.79.234.45
